"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"643","46.354382","192.168.73.128","192.168.73.1","UDP","20001","651","","10001","","0.004335000","20001  >  10001 Len=609"
"644","47.616289","192.168.48.133","192.168.48.1","TCP","56664","74","0x0002","53","21","1.261907000","[TCP Retransmission] 56664  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388627545 TSecr=0 WS=128"
"645","48.472852","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40594","6","0.856563000","Server: Encrypted packet (len=52)"
"646","48.473409","192.168.48.130","192.168.48.133","SSHv2","40594","150","0x0018","22","6","0.000557000","Client: Encrypted packet (len=84)"
"647","48.473632","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40594","6","0.000223000","22  >  40594 [ACK] Seq=1915 Ack=1664 Win=64256 Len=0 TSval=359539864 TSecr=4265927587"
"648","48.483341","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40590","5","0.009709000","Server: Encrypted packet (len=52)"
"649","48.483902","192.168.48.130","192.168.48.133","SSHv2","40590","142","0x0018","22","5","0.000561000","Client: Encrypted packet (len=76)"
"650","48.484107","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40590","5","0.000205000","22  >  40590 [ACK] Seq=1915 Ack=1648 Win=64256 Len=0 TSval=359539875 TSecr=4265927598"
"651","48.493679","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40598","7","0.009572000","Server: Encrypted packet (len=52)"
"652","48.494231","192.168.48.130","192.168.48.133","SSHv2","40598","150","0x0018","22","7","0.000552000","Client: Encrypted packet (len=84)"
"653","48.494381","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40598","7","0.000150000","22  >  40598 [ACK] Seq=1915 Ack=1664 Win=64256 Len=0 TSval=359539885 TSecr=4265927608"
"654","48.527597","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40614","8","0.033216000","Server: Encrypted packet (len=52)"
"655","48.528231","192.168.48.130","192.168.48.133","SSHv2","40614","150","0x0018","22","8","0.000634000","Client: Encrypted packet (len=84)"
"656","48.528377","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40614","8","0.000146000","22  >  40614 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539919 TSecr=4265927642"
"657","48.537660","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40654","11","0.009283000","Server: Encrypted packet (len=52)"
"658","48.538699","192.168.48.130","192.168.48.133","SSHv2","40654","142","0x0018","22","11","0.001039000","Client: Encrypted packet (len=76)"
"659","48.538849","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40654","11","0.000150000","22  >  40654 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539929 TSecr=4265927653"
"660","48.548549","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40660","13","0.009700000","Server: Encrypted packet (len=52)"
"661","48.548965","192.168.48.130","192.168.48.133","SSHv2","40660","150","0x0018","22","13","0.000416000","Client: Encrypted packet (len=84)"
"662","48.549072","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40660","13","0.000107000","22  >  40660 [ACK] Seq=1915 Ack=1648 Win=64256 Len=0 TSval=359539940 TSecr=4265927663"
"663","48.559052","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40668","14","0.009980000","Server: Encrypted packet (len=52)"
"664","48.559406","192.168.48.130","192.168.48.133","SSHv2","40668","150","0x0018","22","14","0.000354000","Client: Encrypted packet (len=84)"
"665","48.559540","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40668","14","0.000134000","22  >  40668 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539950 TSecr=4265927673"
"666","48.569021","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40690","16","0.009481000","Server: Encrypted packet (len=52)"
"667","48.569566","192.168.48.130","192.168.48.133","SSHv2","40690","150","0x0018","22","16","0.000545000","Client: Encrypted packet (len=84)"
"668","48.569760","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40690","16","0.000194000","22  >  40690 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539960 TSecr=4265927684"
"669","48.579556","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40630","9","0.009796000","Server: Encrypted packet (len=52)"
"670","48.579832","192.168.48.130","192.168.48.133","SSHv2","40630","150","0x0018","22","9","0.000276000","Client: Encrypted packet (len=84)"
"671","48.579967","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40630","9","0.000135000","22  >  40630 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539971 TSecr=4265927694"
"672","48.583034","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40642","10","0.003067000","Server: Encrypted packet (len=52)"
"673","48.585484","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40658","12","0.002450000","Server: Encrypted packet (len=52)"
"674","48.587024","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40676","15","0.001540000","Server: Encrypted packet (len=52)"
"675","48.590066","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40734","20","0.003042000","Server: Encrypted packet (len=52)"
"676","48.590212","192.168.48.130","192.168.48.133","SSHv2","40642","142","0x0018","22","10","0.000146000","Client: Encrypted packet (len=76)"
"677","48.590333","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40642","10","0.000121000","22  >  40642 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359539981 TSecr=4265927704"
"678","48.590385","192.168.48.130","192.168.48.133","SSHv2","40658","150","0x0018","22","12","0.000052000","Client: Encrypted packet (len=84)"
"679","48.590493","192.168.48.130","192.168.48.133","SSHv2","40676","142","0x0018","22","15","0.000108000","Client: Encrypted packet (len=76)"
"680","48.596045","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40658","12","0.005552000","22  >  40658 [ACK] Seq=1915 Ack=1664 Win=64256 Len=0 TSval=359539987 TSecr=4265927704"
"681","48.596130","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40676","15","0.000085000","22  >  40676 [ACK] Seq=1915 Ack=1640 Win=64256 Len=0 TSval=359539987 TSecr=4265927704"
"682","48.600021","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40714","18","0.003891000","Server: Encrypted packet (len=52)"
"683","48.600354","192.168.48.130","192.168.48.133","SSHv2","40734","142","0x0018","22","20","0.000333000","Client: Encrypted packet (len=76)"
"684","48.600489","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40734","20","0.000135000","22  >  40734 [ACK] Seq=1863 Ack=1580 Win=64256 Len=0 TSval=359539991 TSecr=4265927714"
"685","48.603483","192.168.48.133","192.168.48.130","SSHv2","22","118","0x0018","40722","19","0.002994000","Server: Encrypted packet (len=52)"
"686","48.608063","192.168.48.132","192.168.48.254","DHCP","68","358","","67","","0.004580000","DHCP Request  - Transaction ID 0x16f96c1"
"687","48.608216","192.168.48.254","192.168.48.132","DHCP","67","342","","68","","0.000153000","DHCP ACK      - Transaction ID 0x16f96c1"
"688","48.611204","192.168.48.130","192.168.48.133","SSHv2","40714","142","0x0018","22","18","0.002988000","Client: Encrypted packet (len=76)"
"689","48.611360","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40714","18","0.000156000","22  >  40714 [ACK] Seq=1915 Ack=1656 Win=64256 Len=0 TSval=359540002 TSecr=4265927725"
"690","48.611477","192.168.48.130","192.168.48.133","SSHv2","40722","142","0x0018","22","19","0.000117000","Client: Encrypted packet (len=76)"
"691","48.615915","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40722","19","0.004438000","22  >  40722 [ACK] Seq=1915 Ack=1648 Win=64256 Len=0 TSval=359540007 TSecr=4265927726"
"692","48.620572","fe80::39bc:90cd:c3ae:f17","ff02::16","ICMPv6","","90","","","","0.004657000","Multicast Listener Report Message v2"
"693","48.621049","192.168.48.132","224.0.0.22","IGMPv3","","54","","","","0.000477000","Membership Report / Leave group 224.0.0.252"
"694","48.639948","fe80::39bc:90cd:c3ae:f17","ff02::16","ICMPv6","","90","","","","0.018899000","Multicast Listener Report Message v2"
"695","48.640195","192.168.48.132","224.0.0.22","IGMPv3","","54","","","","0.000247000","Membership Report / Join group 224.0.0.252 for any sources"
"696","48.648421","fe80::39bc:90cd:c3ae:f17","ff02::16","ICMPv6","","90","","","","0.008226000","Multicast Listener Report Message v2"
"697","48.648580","192.168.48.132","224.0.0.22","IGMPv3","","54","","","","0.000159000","Membership Report / Leave group 224.0.0.252"
"698","48.648899","fe80::39bc:90cd:c3ae:f17","ff02::16","ICMPv6","","90","","","","0.000319000","Multicast Listener Report Message v2"
"699","48.649128","192.168.48.132","224.0.0.22","IGMPv3","","54","","","","0.000229000","Membership Report / Join group 224.0.0.252 for any sources"
"700","48.652753","192.168.48.132","224.0.0.251","MDNS","5353","81","","5353","","0.003625000","Standard query 0x0000 ANY DESKTOP-0DTNU18.local, ""QM"" question"
"701","48.652911","192.168.48.132","224.0.0.251","MDNS","5353","119","","5353","","0.000158000","Standard query response 0x0000 AAAA fe80::39bc:90cd:c3ae:f17 A 192.168.48.132"
"702","48.653259","fe80::39bc:90cd:c3ae:f17","ff02::fb","MDNS","5353","101","","5353","","0.000348000","Standard query 0x0000 ANY DESKTOP-0DTNU18.local, ""QM"" question"
"703","48.653417","fe80::39bc:90cd:c3ae:f17","ff02::fb","MDNS","5353","139","","5353","","0.000158000","Standard query response 0x0000 AAAA fe80::39bc:90cd:c3ae:f17 A 192.168.48.132"
"704","48.653958","fe80::39bc:90cd:c3ae:f17","ff02::1:3","LLMNR","62608","95","","5355","","0.000541000","Standard query 0xa94f ANY DESKTOP-0DTNU18"
"705","48.654114","192.168.48.132","224.0.0.252","LLMNR","62608","75","","5355","","0.000156000","Standard query 0xa94f ANY DESKTOP-0DTNU18"
"706","48.662460","192.168.48.132","239.255.255.250","SSDP","64296","179","","1900","","0.008346000","M-SEARCH * HTTP/1.1 "
"707","48.716307","192.168.48.132","224.0.0.22","IGMPv3","","54","","","","0.053847000","Membership Report / Join group 224.0.0.252 for any sources"
"708","48.716456","fe80::39bc:90cd:c3ae:f17","ff02::16","ICMPv6","","90","","","","0.000149000","Multicast Listener Report Message v2"
"709","50.411520","192.168.48.133","192.168.48.130","SSHv2","22","142","0x0018","40594","6","1.695064000","Server: Encrypted packet (len=76)"
"710","50.411918","192.168.48.130","192.168.48.133","TCP","40594","66","0x0011","22","6","0.000398000","40594  >  22 [FIN, ACK] Seq=1664 Ack=1991 Win=64256 Len=0 TSval=4265929526 TSecr=359541802"
"711","50.412934","192.168.48.130","192.168.48.133","TCP","44604","74","0x0002","22","22","0.001016000","44604  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4265929527 TSecr=0 WS=256"
"712","50.413134","192.168.48.133","192.168.48.130","TCP","22","74","0x0012","44604","22","0.000200000","22  >  44604 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359541804 TSecr=4265929527 WS=128"
"713","50.413663","192.168.48.130","192.168.48.133","TCP","44604","66","0x0010","22","22","0.000529000","44604  >  22 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4265929528 TSecr=359541804"
"714","50.413995","192.168.48.130","192.168.48.133","SSHv2","44604","89","0x0018","22","22","0.000332000","Client: Protocol (SSH-2.0-libssh_0.12.0)"
"715","50.414154","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","44604","22","0.000159000","22  >  44604 [ACK] Seq=1 Ack=24 Win=65152 Len=0 TSval=359541805 TSecr=4265929528"
"716","50.420389","192.168.48.133","192.168.48.130","TCP","22","66","0x0011","40594","6","0.006235000","22  >  40594 [FIN, ACK] Seq=1991 Ack=1665 Win=64256 Len=0 TSval=359541811 TSecr=4265929526"
"717","50.420641","192.168.48.130","192.168.48.133","TCP","40594","66","0x0010","22","6","0.000252000","40594  >  22 [ACK] Seq=1665 Ack=1992 Win=64256 Len=0 TSval=4265929535 TSecr=359541811"
"718","50.421540","192.168.48.133","192.168.48.130","SSHv2","22","142","0x0018","40590","5","0.000899000","Server: Encrypted packet (len=76)"
"719","50.421976","192.168.48.130","192.168.48.133","TCP","40590","66","0x0011","22","5","0.000436000","40590  >  22 [FIN, ACK] Seq=1648 Ack=1991 Win=64256 Len=0 TSval=4265929536 TSecr=359541812"
"720","50.422724","192.168.48.130","192.168.48.133","TCP","44614","74","0x0002","22","23","0.000748000","44614  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4265929537 TSecr=0 WS=256"
"721","50.422872","192.168.48.133","192.168.48.130","TCP","22","74","0x0012","44614","23","0.000148000","22  >  44614 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359541814 TSecr=4265929537 WS=128"
"722","50.423065","192.168.48.130","192.168.48.133","TCP","44614","66","0x0010","22","23","0.000193000","44614  >  22 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4265929537 TSecr=359541814"
"723","50.423333","192.168.48.130","192.168.48.133","SSHv2","44614","89","0x0018","22","23","0.000268000","Client: Protocol (SSH-2.0-libssh_0.12.0)"
"724","50.423477","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","44614","23","0.000144000","22  >  44614 [ACK] Seq=1 Ack=24 Win=65152 Len=0 TSval=359541814 TSecr=4265929537"
"725","50.429349","192.168.48.133","192.168.48.130","TCP","22","66","0x0011","40590","5","0.005872000","22  >  40590 [FIN, ACK] Seq=1991 Ack=1649 Win=64256 Len=0 TSval=359541820 TSecr=4265929536"
