"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1605","40.878402","192.168.48.130","192.168.48.133","TCP","47658","66","0x0010","23","6","0.000147000","47658  >  23 [ACK] Seq=66 Ack=257 Win=64256 Len=0 TSval=4266135931 TSecr=359748211"
"1606","40.878518","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47764","16","0.000116000","12 bytes data"
"1607","40.878640","192.168.48.130","192.168.48.133","TCP","47764","66","0x0010","23","16","0.000122000","47764  >  23 [ACK] Seq=64 Ack=257 Win=64256 Len=0 TSval=4266135931 TSecr=359748211"
"1608","40.879971","192.168.48.130","192.168.48.133","TELNET","47780","68","0x0018","23","17","0.001331000","2 bytes data"
"1609","40.880119","192.168.48.133","192.168.48.130","TCP","23","66","0x0010","47780","17","0.000148000","23  >  47780 [ACK] Seq=245 Ack=69 Win=65280 Len=0 TSval=359748212 TSecr=4266135933"
"1610","40.880425","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47780","17","0.000306000","12 bytes data"
"1611","40.880594","192.168.48.130","192.168.48.133","TCP","47780","66","0x0010","23","17","0.000169000","47780  >  23 [ACK] Seq=69 Ack=257 Win=64256 Len=0 TSval=4266135933 TSecr=359748213"
"1612","40.887121","192.168.48.133","192.168.48.130","TELNET","23","106","0x0018","47748","14","0.006527000","40 bytes data"
"1613","40.887345","192.168.48.130","192.168.48.133","TCP","47748","66","0x0010","23","14","0.000224000","47748  >  23 [ACK] Seq=65 Ack=245 Win=64256 Len=0 TSval=4266135940 TSecr=359748220"
"1614","40.907354","192.168.48.130","192.168.48.133","TELNET","47624","68","0x0018","23","3","0.020009000","2 bytes data"
"1615","40.907422","192.168.48.130","192.168.48.133","TELNET","47740","68","0x0018","23","13","0.000068000","2 bytes data"
"1616","40.907571","192.168.48.133","192.168.48.130","TCP","23","66","0x0010","47624","3","0.000149000","23  >  47624 [ACK] Seq=245 Ack=67 Win=65280 Len=0 TSval=359748240 TSecr=4266135960"
"1617","40.907658","192.168.48.133","192.168.48.130","TCP","23","66","0x0010","47740","13","0.000087000","23  >  47740 [ACK] Seq=245 Ack=67 Win=65280 Len=0 TSval=359748240 TSecr=4266135960"
"1618","40.908760","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47740","13","0.001102000","12 bytes data"
"1619","40.908907","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47624","3","0.000147000","12 bytes data"
"1620","40.908962","192.168.48.130","192.168.48.133","TCP","47740","66","0x0010","23","13","0.000055000","47740  >  23 [ACK] Seq=67 Ack=257 Win=64256 Len=0 TSval=4266135962 TSecr=359748241"
"1621","40.909070","192.168.48.130","192.168.48.133","TCP","47624","66","0x0010","23","3","0.000108000","47624  >  23 [ACK] Seq=67 Ack=257 Win=64256 Len=0 TSval=4266135962 TSecr=359748241"
"1622","40.913933","192.168.48.130","192.168.48.133","TELNET","47696","68","0x0018","23","9","0.004863000","2 bytes data"
"1623","40.914666","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47696","9","0.000733000","12 bytes data"
"1624","40.914983","192.168.48.130","192.168.48.133","TCP","47696","66","0x0010","23","9","0.000317000","47696  >  23 [ACK] Seq=71 Ack=263 Win=64256 Len=0 TSval=4266135968 TSecr=359748247"
"1625","40.941771","192.168.48.133","192.168.48.130","TELNET","23","106","0x0018","47724","12","0.026788000","40 bytes data"
"1626","40.942379","192.168.48.130","192.168.48.133","TCP","47724","66","0x0010","23","12","0.000608000","47724  >  23 [ACK] Seq=70 Ack=251 Win=64256 Len=0 TSval=4266135995 TSecr=359748274"
"1627","40.962382","192.168.48.130","192.168.48.133","TELNET","47682","68","0x0018","23","8","0.020003000","2 bytes data"
"1628","40.963109","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47682","8","0.000727000","12 bytes data"
"1629","40.963377","192.168.48.130","192.168.48.133","TCP","47682","66","0x0010","23","8","0.000268000","47682  >  23 [ACK] Seq=72 Ack=263 Win=64256 Len=0 TSval=4266136016 TSecr=359748296"
"1630","40.977927","192.168.48.130","192.168.48.133","TELNET","47636","68","0x0018","23","4","0.014550000","2 bytes data"
"1631","40.978162","192.168.48.133","192.168.48.130","TCP","23","66","0x0010","47636","4","0.000235000","23  >  47636 [ACK] Seq=238 Ack=69 Win=65280 Len=0 TSval=359748311 TSecr=4266136031"
"1632","40.978828","192.168.48.133","192.168.48.130","TELNET","23","78","0x0018","47636","4","0.000666000","12 bytes data"
"1633","40.979000","192.168.48.130","192.168.48.133","TCP","47636","66","0x0010","23","4","0.000172000","47636  >  23 [ACK] Seq=69 Ack=250 Win=64256 Len=0 TSval=4266136032 TSecr=359748311"
"1634","40.981734","192.168.48.133","192.168.48.130","TELNET","23","106","0x0018","47650","5","0.002734000","40 bytes data"
