"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"272","69.625532","192.168.48.133","192.168.48.1","TCP","443","60","0x0011","19747","25","0.000124000","443  >  19747 [FIN, ACK] Seq=1289 Ack=1765 Win=64128 Len=0"
"273","70.077407","192.168.48.130","192.168.48.1","DNS","37327","93","","53","","0.451875000","Standard query 0x14d8 A 0.debian.pool.ntp.org.localdomain"
"274","70.077571","192.168.48.130","192.168.48.1","DNS","37327","93","","53","","0.000164000","Standard query 0x67de AAAA 0.debian.pool.ntp.org.localdomain"
"275","70.265564","192.168.48.133","192.168.48.1","TCP","41806","74","0x0002","53","27","0.187993000","41806  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3382765083 TSecr=0 WS=128"
"276","71.287619","192.168.48.133","192.168.48.1","TCP","41806","74","0x0002","53","27","1.022055000","[TCP Retransmission] 41806  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3382766105 TSecr=0 WS=128"
"277","72.574696","192.168.48.133","192.168.48.1","TCP","443","66","0x0012","19750","28","1.287077000","443  >  19750 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"278","72.575113","192.168.48.133","192.168.48.1","TCP","443","66","0x0012","19751","29","0.000417000","443  >  19751 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"279","72.575533","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19750","28","0.000420000","443  >  19750 [ACK] Seq=1 Ack=1734 Win=63488 Len=0"
"280","72.576285","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19751","29","0.000752000","443  >  19751 [ACK] Seq=1 Ack=1734 Win=63488 Len=0"
"281","72.576946","192.168.48.133","192.168.48.1","TLSv1.3","443","1342","0x0018","19750","28","0.000661000","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"282","72.577437","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19750","28","0.000491000","443  >  19750 [ACK] Seq=1289 Ack=1764 Win=64128 Len=0"
"283","72.578268","192.168.48.133","192.168.48.1","TLSv1.3","443","1342","0x0018","19751","29","0.000831000","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"284","72.578419","192.168.48.133","192.168.48.1","TCP","443","60","0x0011","19750","28","0.000151000","443  >  19750 [FIN, ACK] Seq=1289 Ack=1765 Win=64128 Len=0"
"285","72.578872","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19751","29","0.000453000","443  >  19751 [ACK] Seq=1289 Ack=1764 Win=64128 Len=0"
"286","72.578981","192.168.48.133","192.168.48.1","TCP","443","60","0x0011","19751","29","0.000109000","443  >  19751 [FIN, ACK] Seq=1289 Ack=1765 Win=64128 Len=0"
"287","73.303478","192.168.48.133","192.168.48.1","TCP","41806","74","0x0002","53","27","0.724497000","[TCP Retransmission] 41806  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3382768121 TSecr=0 WS=128"
"288","75.083803","192.168.48.130","192.168.48.1","DNS","34094","81","","53","","1.780325000","Standard query 0x8ef4 A 1.debian.pool.ntp.org"
"289","75.083918","192.168.48.130","192.168.48.1","DNS","34094","81","","53","","0.000115000","Standard query 0x0ef6 AAAA 1.debian.pool.ntp.org"
"290","75.263712","VMware_72:69:7d","VMware_c0:00:02","ARP","","60","","","","0.179794000","Who has 192.168.48.1? Tell 192.168.48.130"
"291","77.495142","192.168.48.133","192.168.48.1","TCP","41806","74","0x0002","53","27","2.231430000","[TCP Retransmission] 41806  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3382772313 TSecr=0 WS=128"
"292","77.558559","192.168.48.133","192.168.48.1","TCP","443","66","0x0012","19752","30","0.063417000","443  >  19752 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"293","77.558733","192.168.48.133","192.168.48.1","TCP","443","66","0x0012","19753","31","0.000174000","443  >  19753 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"294","77.559680","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19752","30","0.000947000","443  >  19752 [ACK] Seq=1 Ack=1702 Win=63488 Len=0"
"295","77.561203","192.168.48.133","192.168.48.1","TLSv1.3","443","1342","0x0018","19752","30","0.001523000","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"296","77.561362","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19753","31","0.000159000","443  >  19753 [ACK] Seq=1 Ack=1766 Win=63488 Len=0"
"297","77.561668","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19752","30","0.000306000","443  >  19752 [ACK] Seq=1289 Ack=1732 Win=64128 Len=0"
"298","77.562858","192.168.48.133","192.168.48.1","TLSv1.3","443","1342","0x0018","19753","31","0.001190000","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"299","77.563028","192.168.48.133","192.168.48.1","TCP","443","60","0x0011","19752","30","0.000170000","443  >  19752 [FIN, ACK] Seq=1289 Ack=1733 Win=64128 Len=0"
"300","77.563488","192.168.48.133","192.168.48.1","TCP","443","60","0x0010","19753","31","0.000460000","443  >  19753 [ACK] Seq=1289 Ack=1796 Win=64128 Len=0"
"301","77.563578","192.168.48.133","192.168.48.1","TCP","443","60","0x0011","19753","31","0.000090000","443  >  19753 [FIN, ACK] Seq=1289 Ack=1797 Win=64128 Len=0"
"302","77.816330","192.168.73.128","192.168.73.1","UDP","20000","494","","10000","","0.252752000","20000  >  10000 Len=452"
"303","77.818641","192.168.73.128","192.168.73.1","UDP","20000","494","","10000","","0.002311000","20000  >  10000 Len=452"
"304","77.823209","192.168.73.128","192.168.73.1","UDP","20001","494","","10001","","0.004568000","20001  >  10001 Len=452"
"305","77.825464","192.168.73.128","192.168.73.1","UDP","20000","494","","10000","","0.002255000","20000  >  10000 Len=452"
"306","77.830467","192.168.73.128","192.168.73.1","UDP","20001","494","","10001","","0.005003000","20001  >  10001 Len=452"
"307","77.832740","192.168.73.128","192.168.73.1","UDP","20000","536","","10000","","0.002273000","20000  >  10000 Len=494"
"308","77.837638","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004898000","20001  >  10001 Len=270"
"309","77.839890","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002252000","20000  >  10000 Len=270"
"310","77.844790","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004900000","20001  >  10001 Len=270"
"311","77.847005","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002215000","20000  >  10000 Len=270"
"312","77.853270","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.006265000","20001  >  10001 Len=270"
"313","77.855439","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002169000","20000  >  10000 Len=270"
"314","77.860074","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004635000","20001  >  10001 Len=270"
"315","77.862572","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002498000","20000  >  10000 Len=270"
"316","77.867205","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004633000","20001  >  10001 Len=270"
"317","77.869481","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002276000","20000  >  10000 Len=270"
"318","77.874464","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004983000","20001  >  10001 Len=270"
"319","77.876793","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.002329000","20000  >  10000 Len=309"
"320","77.881678","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.004885000","20001  >  10001 Len=309"
"321","77.884022","192.168.73.128","192.168.73.1","UDP","20000","536","","10000","","0.002344000","20000  >  10000 Len=494"
"322","79.092241","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","1.208219000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
