"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"39","19.821747","192.168.73.128","192.168.73.1","UDP","20001","396","","10001","","0.002111000","20001  >  10001 Len=354"
"40","19.826936","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.005189000","20000  >  10000 Len=200"
"41","19.829232","192.168.73.128","192.168.73.1","UDP","20001","242","","10001","","0.002296000","20001  >  10001 Len=200"
"42","19.834535","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.005303000","20000  >  10000 Len=200"
"43","19.836781","192.168.73.128","192.168.73.1","UDP","20001","242","","10001","","0.002246000","20001  >  10001 Len=200"
"44","19.841680","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.004899000","20000  >  10000 Len=200"
"45","20.012866","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","0.171186000","48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386978910 TSecr=0 WS=128"
"46","20.055644","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.042778000","Standard query 0xacd0 A 3.debian.pool.ntp.org"
"47","20.055751","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.000107000","Standard query 0x3edd AAAA 3.debian.pool.ntp.org"
"48","21.031219","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","0.975468000","[TCP Retransmission] 48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386979929 TSecr=0 WS=128"
"49","21.674214","192.168.48.132","192.168.48.133","FTP","49725","70","0x0018","21","2","0.642995000","Request: PASS Imran@123"
"50","21.674354","192.168.48.133","192.168.48.132","TCP","21","60","0x0010","49725","2","0.000140000","21  >  49725 [ACK] Seq=81 Ack=43 Win=64256 Len=0"
"51","21.698543","192.168.48.133","192.168.48.132","FTP","21","77","0x0018","49725","2","0.024189000","Response: 230 Login successful."
"52","21.751423","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.052880000","49725  >  21 [ACK] Seq=43 Ack=104 Win=8089 Len=0"
"53","21.894588","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.143165000","20001  >  10001 Len=309"
"54","21.898544","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.003956000","20000  >  10000 Len=309"
"55","21.903296","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004752000","20000  >  10000 Len=309"
"56","21.905748","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002452000","20001  >  10001 Len=309"
"57","21.910568","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004820000","20000  >  10000 Len=309"
"58","21.912902","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002334000","20001  >  10001 Len=309"
"59","21.917842","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004940000","20000  >  10000 Len=309"
"60","21.920188","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002346000","20001  >  10001 Len=309"
"61","22.329930","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.409742000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"62","22.332880","192.168.73.128","192.168.73.1","UDP","20000","326","","10000","","0.002950000","20000  >  10000 Len=284"
"63","22.335292","192.168.73.128","192.168.73.1","UDP","20001","326","","10001","","0.002412000","20001  >  10001 Len=284"
"64","22.340517","192.168.73.128","192.168.73.1","UDP","20000","326","","10000","","0.005225000","20000  >  10000 Len=284"
"65","22.836583","192.168.73.128","192.168.73.1","UDP","20000","452","","10000","","0.496066000","20000  >  10000 Len=410"
"66","23.046986","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","0.210403000","[TCP Retransmission] 48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386981945 TSecr=0 WS=128"
"67","24.761842","192.168.48.132","192.168.48.133","FTP","49725","82","0x0018","21","2","1.714856000","Request: PORT 192,168,48,132,194,62"
"68","24.762192","192.168.48.133","192.168.48.132","FTP","21","105","0x0018","49725","2","0.000350000","Response: 200 PORT command successful. Consider using PASV."
"69","24.770782","192.168.48.132","192.168.48.133","FTP","49725","60","0x0018","21","2","0.008590000","Request: LIST"
"70","24.771311","192.168.48.133","192.168.48.132","TCP","20","74","0x0002","49726","4","0.000529000","20  >  49726 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2248704306 TSecr=0 WS=128"
"71","24.771521","192.168.48.132","192.168.48.133","TCP","49726","66","0x0012","20","4","0.000210000","49726  >  20 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"72","24.771632","192.168.48.133","192.168.48.132","TCP","20","60","0x0010","49726","4","0.000111000","20  >  49726 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"73","24.771791","192.168.48.133","192.168.48.132","FTP","21","93","0x0018","49725","2","0.000159000","Response: 150 Here comes the directory listing."
"74","24.771955","192.168.48.133","192.168.48.132","FTP-DATA","20","382","0x0018","49726","4","0.000164000","FTP Data: 328 bytes (PORT) (LIST)"
"75","24.772026","192.168.48.133","192.168.48.132","TCP","20","60","0x0011","49726","4","0.000071000","20  >  49726 [FIN, ACK] Seq=329 Ack=1 Win=64256 Len=0"
"76","24.772212","192.168.48.132","192.168.48.133","TCP","49726","54","0x0010","20","4","0.000186000","49726  >  20 [ACK] Seq=1 Ack=330 Win=2102272 Len=0"
"77","24.772334","192.168.48.133","192.168.48.132","FTP","21","78","0x0018","49725","2","0.000122000","Response: 226 Directory send OK."
"78","24.772437","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.000103000","49725  >  21 [ACK] Seq=77 Ack=218 Win=7975 Len=0"
"79","24.794494","192.168.48.132","192.168.48.133","TCP","49726","54","0x0011","20","4","0.022057000","49726  >  20 [FIN, ACK] Seq=1 Ack=330 Win=2102272 Len=0"
"80","24.794613","192.168.48.133","192.168.48.132","TCP","20","60","0x0010","49726","4","0.000119000","20  >  49726 [ACK] Seq=330 Ack=2 Win=64256 Len=0"
"81","25.061367","192.168.48.130","192.168.48.1","DNS","59126","93","","53","","0.266754000","Standard query 0xfaa2 A 3.debian.pool.ntp.org.localdomain"
"82","25.061482","192.168.48.130","192.168.48.1","DNS","59126","93","","53","","0.000115000","Standard query 0x29af AAAA 3.debian.pool.ntp.org.localdomain"
"83","27.175413","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","2.113931000","[TCP Retransmission] 48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386986073 TSecr=0 WS=128"
"84","30.023865","192.168.48.133","192.168.48.1","TCP","39916","74","0x0002","53","5","2.848452000","39916  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386988922 TSecr=0 WS=128"
"85","30.067042","192.168.48.130","192.168.48.1","DNS","59126","93","","53","","0.043177000","Standard query 0xfaa2 A 3.debian.pool.ntp.org.localdomain"
"86","30.067216","192.168.48.130","192.168.48.1","DNS","59126","93","","53","","0.000174000","Standard query 0x29af AAAA 3.debian.pool.ntp.org.localdomain"
"87","30.777188","192.168.48.128","192.168.48.1","TCP","47134","78","0x0002","53","6","0.709972000","47134  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2108770947 TSecr=0 WS=128 TFO=R"
"88","31.047128","192.168.48.133","192.168.48.1","TCP","39916","74","0x0002","53","5","0.269940000","[TCP Retransmission] 39916  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386989945 TSecr=0 WS=128"
"89","31.798341","192.168.48.128","192.168.48.1","TCP","47134","74","0x0002","53","6","0.751213000","[TCP Retransmission] 47134  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2108771967 TSecr=0 WS=128"
"90","33.062786","192.168.48.133","192.168.48.1","TCP","39916","74","0x0002","53","5","1.264445000","[TCP Retransmission] 39916  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386991961 TSecr=0 WS=128"
"91","33.817164","192.168.48.128","192.168.48.1","TCP","47134","74","0x0002","53","6","0.754378000","[TCP Retransmission] 47134  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2108773983 TSecr=0 WS=128"
"92","34.208903","192.168.73.128","192.168.73.1","UDP","20000","632","","10000","","0.391739000","20000  >  10000 Len=590"
"93","34.211093","192.168.73.128","192.168.73.1","UDP","20001","632","","10001","","0.002190000","20001  >  10001 Len=590"
"94","34.218006","192.168.73.128","192.168.73.1","TCP","80","141","0x0018","15006","7","0.006913000","80  >  15006 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=87"
"95","34.378102","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.160096000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"96","34.381958","192.168.73.128","192.168.73.1","UDP","20001","639","","10001","","0.003856000","20001  >  10001 Len=597"
"97","34.457757","192.168.73.128","192.168.73.1","UDP","20000","1124","","10000","","0.075799000","20000  >  10000 Len=1082"
