"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"665","151.562932","192.168.48.132","192.168.48.133","HTTP","49683","538","0x0018","80","24","1.169786000","GET / HTTP/1.1 "
"666","151.563834","192.168.48.133","192.168.48.132","TCP","80","1514","0x0010","49683","24","0.000902000","80  >  49683 [ACK] Seq=18282 Ack=5335 Win=64128 Len=1460 [TCP PDU reassembled in 668]"
"667","151.563898","192.168.48.133","192.168.48.132","TCP","80","1514","0x0010","49683","24","0.000064000","80  >  49683 [ACK] Seq=19742 Ack=5335 Win=64128 Len=1460 [TCP PDU reassembled in 668]"
"668","151.563939","192.168.48.133","192.168.48.132","HTTP","80","610","0x0018","49683","24","0.000041000","HTTP/1.1 200 OK  (text/html)"
"669","151.564022","192.168.48.132","192.168.48.133","TCP","49683","54","0x0010","80","24","0.000083000","49683  >  80 [ACK] Seq=5335 Ack=21758 Win=262144 Len=0"
"670","151.621522","192.168.48.132","192.168.48.133","HTTP","49683","540","0x0018","80","24","0.057500000","GET /icons/ubuntu-logo.png HTTP/1.1 "
"671","151.622018","192.168.48.133","192.168.48.132","HTTP","80","234","0x0018","49683","24","0.000496000","HTTP/1.1 304 Not Modified "
"672","151.622183","192.168.48.132","192.168.48.133","TCP","49683","54","0x0010","80","24","0.000165000","49683  >  80 [ACK] Seq=5821 Ack=21938 Win=261888 Len=0"
"673","152.170461","192.168.48.132","192.168.48.1","DNS","52810","89","","53","","0.548278000","Standard query 0x8a7f A nav.smartscreen.microsoft.com"
"674","152.255760","192.168.48.130","192.168.48.1","DNS","51031","81","","53","","0.085299000","Standard query 0x5453 A 0.debian.pool.ntp.org"
"675","152.255922","192.168.48.130","192.168.48.1","DNS","51031","81","","53","","0.000162000","Standard query 0xb66e AAAA 0.debian.pool.ntp.org"
"676","153.007892","192.168.73.128","192.168.73.1","UDP","20001","561","","10001","","0.751970000","20001  >  10001 Len=519"
"677","153.010390","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002498000","20000  >  10000 Len=228"
"678","153.015361","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.004971000","20001  >  10001 Len=228"
"679","153.017669","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002308000","20000  >  10000 Len=228"
"680","153.022837","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.005168000","20001  >  10001 Len=228"
"681","153.025238","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002401000","20000  >  10000 Len=228"
"682","153.030611","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.005373000","20001  >  10001 Len=228"
"683","153.032964","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002353000","20000  >  10000 Len=228"
"684","153.038547","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.005583000","20001  >  10001 Len=228"
"685","153.040835","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002288000","20000  >  10000 Len=228"
"686","153.045750","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.004915000","20001  >  10001 Len=228"
"687","153.047947","192.168.73.128","192.168.73.1","UDP","20000","270","","10000","","0.002197000","20000  >  10000 Len=228"
"688","153.053202","192.168.73.128","192.168.73.1","UDP","20001","270","","10001","","0.005255000","20001  >  10001 Len=228"
"689","153.055490","192.168.73.128","192.168.73.1","UDP","20000","606","","10000","","0.002288000","20000  >  10000 Len=564"
