protocol,source_port,length,tcp_flags,dst_port,delta_time,info,label
24,20001.0,645,10,10001.0,0.411374,2485,0
24,20000.0,564,10,10000.0,0.002225,2270,0
24,20001.0,564,10,10001.0,0.005104,2465,0
19,0.0,60,10,0.0,0.030607,36225,0
24,20001.0,564,10,10001.0,0.005833,2465,0
24,20000.0,183,10,10000.0,0.002423,2181,0
24,20001.0,183,10,10001.0,0.005072,2378,0
24,20001.0,564,10,10001.0,0.467261,2465,0
20,43180.0,74,0,53.0,0.983503,40563,0
20,53844.0,74,0,53.0,2.901924,24092,0
4,39496.0,93,10,53.0,0.043149,37595,0
4,39496.0,93,10,53.0,0.000126,37484,0
20,53844.0,74,0,53.0,0.95868,40875,0
20,53844.0,74,0,53.0,2.016128,40876,0
4,50824.0,81,10,53.0,2.031304,37843,0
4,50824.0,81,10,53.0,0.000189,37706,0
20,53844.0,74,0,53.0,2.032381,40877,0
24,20000.0,536,10,10000.0,0.669696,2260,0
24,20000.0,536,10,10000.0,0.005332,2260,0
24,20001.0,536,10,10001.0,0.005464,2455,0
24,20000.0,536,10,10000.0,0.00244,2260,0
24,20001.0,536,10,10001.0,0.005333,2455,0
24,20000.0,536,10,10000.0,0.00073,2260,0
24,20001.0,536,10,10001.0,0.006722,2455,0
24,20000.0,536,10,10000.0,0.002248,2260,0
24,20001.0,536,10,10001.0,0.005374,2455,0
24,20000.0,536,10,10000.0,0.002415,2260,0
24,20001.0,536,10,10001.0,0.005208,2455,0
24,20001.0,536,10,10001.0,0.002248,2455,0
24,20000.0,536,10,10000.0,0.005067,2260,0
19,0.0,60,10,0.0,0.354277,36225,0
24,20000.0,351,10,10000.0,0.005022,2212,0
24,20000.0,351,10,10000.0,0.002675,2212,0
24,20001.0,351,10,10001.0,0.006102,2406,0
24,20000.0,627,10,10000.0,0.294898,2284,0
20,43586.0,74,0,53.0,1.547894,18149,0
4,50824.0,81,10,53.0,0.043969,37843,0
4,50824.0,81,10,53.0,0.000104,37706,0
20,43586.0,74,0,53.0,0.963051,40573,0
20,43586.0,74,0,53.0,2.015719,40574,0
4,44421.0,93,10,53.0,2.026988,38094,0
4,44421.0,93,10,53.0,0.000196,38263,0
20,43586.0,74,0,53.0,2.00496,40575,0
24,20000.0,435,10,10000.0,1.714907,2236,0
24,20000.0,435,10,10000.0,0.002451,2236,0
24,20001.0,435,10,10001.0,0.005013,2430,0
19,0.0,60,10,0.0,0.348644,36225,0
24,20001.0,897,10,10001.0,0.012003,2526,0
20,38970.0,74,0,53.0,0.872118,10932,0
4,44421.0,93,10,53.0,0.045643,38094,0
4,44421.0,93,10,53.0,0.000169,38263,0
20,38970.0,74,0,53.0,0.966907,40413,0
20,38970.0,74,0,53.0,2.015834,40414,0
4,35321.0,81,10,53.0,2.023991,37893,0
4,35321.0,81,10,53.0,0.000111,38117,0
0,0.0,60,10,0.0,0.062907,38320,0
20,38970.0,74,0,53.0,2.168982,40415,0
24,20001.0,597,10,10001.0,1.816761,2475,0
24,20000.0,597,10,10000.0,0.002823,2279,0
24,20001.0,597,10,10001.0,0.005152,2475,0
19,0.0,60,10,0.0,0.382487,36225,0
24,20001.0,816,10,10001.0,0.003366,2513,0
24,20001.0,816,10,10001.0,0.037549,2513,0
20,51182.0,74,0,53.0,0.477613,23273,0
4,35321.0,81,10,53.0,0.047721,37893,0
4,35321.0,81,10,53.0,0.000163,38117,0
20,51182.0,74,0,53.0,0.970409,40811,0
20,51182.0,74,0,53.0,2.015707,40812,0
4,33396.0,93,10,53.0,2.019514,37983,0
4,33396.0,93,10,53.0,0.000175,38014,0
0,0.0,60,10,0.0,1.180354,38322,0
20,51182.0,74,0,53.0,1.024177,40813,0
24,20001.0,858,10,10001.0,0.499465,2518,0
6,49725.0,60,6,21.0,0.482349,37266,0
6,21.0,68,6,49725.0,0.000194,37292,0
20,21.0,60,3,49725.0,7.2e-05,3043,0
20,49725.0,54,2,21.0,8.5e-05,22434,0
20,49725.0,54,3,21.0,0.002697,22439,0
20,21.0,60,2,49725.0,7.8e-05,3040,0
20,51608.0,74,0,53.0,1.765586,23378,0
4,33396.0,93,10,53.0,0.050616,37983,0
4,33396.0,93,10,53.0,0.000102,38014,0
24,20000.0,1010,10,10000.0,0.119378,2350,0
24,20001.0,1010,10,10001.0,0.002458,2545,0
19,0.0,60,10,0.0,0.015428,36225,0
24,20000.0,1010,10,10000.0,0.003864,2350,0
24,20000.0,1010,10,10000.0,0.021424,2350,0
20,51608.0,74,0,53.0,0.811796,40826,0
